label	d_fpssm0	d_fpssm1	d_fpssm2	d_fpssm3	d_fpssm4	d_fpssm5	d_fpssm6	d_fpssm7	d_fpssm8	d_fpssm9	d_fpssm10	d_fpssm11	d_fpssm12	d_fpssm13	d_fpssm14	d_fpssm15	d_fpssm16	d_fpssm17	d_fpssm18	d_fpssm19
1	0.004888889	0.000888889	0.003111111	0.008888889	0	0.012888889	0.005777778	0.003555556	0.000888889	0.015555556	0.013777778	0.004888889	0.008	0.004888889	0.002666667	0.002222222	0.000888889	0.003555556	0.005333333	0.012
1	0.005185185	0.004444444	0.005555556	0.015185185	0	0.011481481	0.02	0.006666667	0.009259259	0.012592593	0.010740741	0.008148148	0.007777778	0.013333333	0.005925926	0.004814815	0.002592593	0.005925926	0.008518519	0.010740741
1	0.01	0.005416667	0.01375	0.009583333	0	0.007916667	0.010416667	0	0.011666667	0.02	0.019166667	0.010416667	0.01625	0.002916667	0	0.01625	0.014166667	0.000416667	0.00375	0.01625
1	0.02	0.005714286	0.003333333	0.003809524	0	0.011428571	0.007619048	0.008571429	0	0.019047619	0.015714286	0.005714286	0.016666667	0.006666667	0.007619048	0.016666667	0.007619048	0.011428571	0.004761905	0.01952381
1	0.008727273	0.008363636	0.003272727	0.014181818	0	0.005454545	0.009454545	0.006545455	0.000363636	0.02	0.019272727	0.006909091	0.017818182	0.005454545	0.002909091	0.008	0.004727273	0.005090909	0.002909091	0.016
1	0.02	0.005283019	0.003396226	0.000377358	0	0.006037736	0.002641509	0.009056604	0.003396226	0.017358491	0.012830189	0.007169811	0.010566038	0.014339623	0.003018868	0.010943396	0.007924528	0.008301887	0.014339623	0.012075472
1	0.01	0.005862069	0.002068966	0.004827586	0	0.004482759	0.003793103	0.005517241	0.005517241	0.02	0.014137931	0.005517241	0.012758621	0.012068966	0.011034483	0.006551724	0.004827586	0.001724138	0.007586207	0.017931034
1	0.010566038	0.00754717	0.00754717	0.008301887	0	0.00754717	0.00754717	0.009056604	0.000754717	0.02	0.01509434	0.007924528	0.012075472	0.00490566	0	0.013584906	0.010188679	0.008679245	0.002641509	0.018867925
1	0.016521739	0.009130435	0.00173913	0.006086957	0.004347826	0.004347826	0.005652174	0.02	0	0.017391304	0.016956522	0.004347826	0.011304348	0.01	0.010434783	0.017391304	0.006956522	0.005652174	0.004782609	0.014782609
1	0.011304348	0.007391304	0.002173913	0.003478261	0.000434783	0.003913043	0.003043478	0.00826087	0	0.01826087	0.016521739	0.009130435	0.010434783	0.016521739	0.009130435	0.015217391	0.012608696	0.00826087	0.004782609	0.018695652
1	0.02	0.007368421	0.004736842	0.009473684	0	0.006315789	0.005263158	0.012631579	0.002105263	0.019473684	0.018947368	0.003157895	0.012631579	0.007368421	0.014736842	0.017894737	0.008421053	0.014210526	0.011052632	0.016842105
1	0.008888889	0.016666667	0.007222222	0.012222222	0.008333333	0.011666667	0.013888889	0.008333333	0	0.008333333	0.012222222	0.013333333	0.007777778	0.006666667	0.01	0.018333333	0.013333333	0.000555556	0.005555556	0.005555556
1	0.008	0.0088	0.0008	0.0056	0.0056	0.0052	0.0096	0.0116	0.0044	0.0188	0.0128	0.0072	0.0096	0.0028	0.0076	0.0104	0.0112	0	0.0028	0.014
1	0.011111111	0.010555556	0.017777778	0.008333333	0.002777778	0.016111111	0.017222222	0.006111111	0.001666667	0.012222222	0.017222222	0.015	0.011111111	0	0.016666667	0.018888889	0.012777778	0.011111111	0.001111111	0.008888889
1	0.02	0.008695652	0.01173913	0.009130435	0	0.00826087	0.005652174	0.002608696	0.002173913	0.01	0.013478261	0.006086957	0.010869565	0.002608696	0.003043478	0.017826087	0.011304348	0.015217391	0.005652174	0.008695652
1	0.005217391	0.010144928	0.002608696	0.001449275	0.002028986	0.002318841	0	0.000869565	0.011014493	0.005507246	0.009565217	0.004057971	0.008695652	0.019130435	0.008405797	0.004057971	0.005507246	0.002898551	0.013913043	0.002898551
1	0.02	0.006296296	0.007037037	0.011851852	0	0.008888889	0.007777778	0.002222222	0.005555556	0.010740741	0.017777778	0.004814815	0.011111111	0.006296296	0.008888889	0.008518519	0.001481481	0.001481481	0.005555556	0.007407407
1	0.008214286	0.011785714	0.003214286	0.016428571	0	0.007857143	0.014285714	0	0	0.007857143	0.012142857	0.007857143	0.009285714	0.002142857	0.02	0.007142857	0.006428571	0.000357143	0.001071429	0.006071429
1	0.0148	0.0088	0.0064	0.0012	0	0.006	0.006	0.0048	0.0012	0.014	0.0148	0.0084	0.0132	0.0012	0.0048	0.02	0.0112	0.0008	0.0028	0.0136
1	0.007301587	0.007301587	0.004126984	0.009206349	0	0.006349206	0.007936508	0.005714286	0.00031746	0.011746032	0.011428571	0.006984127	0.007619048	0.001904762	0.02	0.005714286	0.000952381	0.00031746	0.000952381	0.01015873
