label	alphaticr.alphaticr	alphaticr.aromatic	alphaticr.postivecharger	alphaticr.negativecharger	alphaticr.uncharger	aromatic.alphaticr	aromatic.aromatic	aromatic.postivecharger	aromatic.negativecharger	aromatic.uncharger	postivecharger.alphaticr	postivecharger.aromatic	postivecharger.postivecharger	postivecharger.negativecharger	postivecharger.uncharger	negativecharger.alphaticr	negativecharger.aromatic	negativecharger.postivecharger	negativecharger.negativecharger	negativecharger.uncharger	uncharger.alphaticr	uncharger.aromatic	uncharger.postivecharger	uncharger.negativecharger	uncharger.uncharger
1	0.175965665	0.02360515	0.049356223	0.072961373	0.128755365	0.015021459	0.004291845	0.004291845	0.006437768	0.008583691	0.06223176	0	0.008583691	0.012875536	0.027896996	0.072961373	0.002145923	0.017167382	0.012875536	0.030042918	0.124463519	0.008583691	0.032188841	0.030042918	0.068669528
1	0.161987041	0.025917927	0.064794816	0.066954644	0.112311015	0.021598272	0.008639309	0.010799136	0.002159827	0.004319654	0.060475162	0.002159827	0.012958963	0.017278618	0.047516199	0.056155508	0.004319654	0.019438445	0.006479482	0.032397408	0.129589633	0.006479482	0.032397408	0.025917927	0.066954644
1	0.220302376	0.017278618	0.088552916	0.05399568	0.129589633	0.017278618	0	0.006479482	0.002159827	0.002159827	0.075593952	0.004319654	0.010799136	0.008639309	0.032397408	0.060475162	0.002159827	0.008639309	0.006479482	0.023758099	0.133909287	0.004319654	0.019438445	0.030237581	0.041036717
1	0.168859649	0.024122807	0.050438596	0.061403509	0.122807018	0.021929825	0.004385965	0.004385965	0.00877193	0.010964912	0.059210526	0.006578947	0.00877193	0.028508772	0.028508772	0.061403509	0.004385965	0.01754386	0.006578947	0.043859649	0.114035088	0.010964912	0.050438596	0.028508772	0.052631579
1	0.171428571	0.017582418	0.057142857	0.059340659	0.12967033	0.013186813	0.004395604	0.006593407	0.006593407	0.01978022	0.052747253	0.008791209	0.010989011	0.013186813	0.03956044	0.061538462	0.008791209	0.010989011	0.010989011	0.01978022	0.134065934	0.010989011	0.03956044	0.021978022	0.07032967
1	0.147577093	0.035242291	0.046255507	0.04185022	0.136563877	0.028634361	0.002202643	0.004405286	0.00660793	0.033039648	0.039647577	0	0.015418502	0.002202643	0.04185022	0.04185022	0.008810573	0.008810573	0.004405286	0.028634361	0.147577093	0.028634361	0.024229075	0.039647577	0.085903084
1	0.193333333	0.02	0.048888889	0.073333333	0.12	0.022222222	0.006666667	0.004444444	0.004444444	0.004444444	0.051111111	0.006666667	0.004444444	0.006666667	0.035555556	0.062222222	0.006666667	0.015555556	0.02	0.033333333	0.124444444	0.002222222	0.031111111	0.035555556	0.066666667
1	0.133928571	0.017857143	0.055803571	0.084821429	0.09375	0.026785714	0.002232143	0.008928571	0.008928571	0.020089286	0.053571429	0.011160714	0.026785714	0.015625	0.040178571	0.064732143	0.013392857	0.029017857	0.022321429	0.029017857	0.104910714	0.022321429	0.029017857	0.026785714	0.058035714
1	0.173423423	0.029279279	0.060810811	0.054054054	0.119369369	0.02027027	0.002252252	0.011261261	0.011261261	0.013513514	0.056306306	0.011261261	0.022522523	0.02027027	0.029279279	0.072072072	0.009009009	0.015765766	0.024774775	0.018018018	0.112612613	0.006756757	0.029279279	0.029279279	0.047297297
1	0.165158371	0.022624434	0.074660633	0.061085973	0.101809955	0.022624434	0.009049774	0.00678733	0.00678733	0.015837104	0.063348416	0.011312217	0.013574661	0.011312217	0.040723982	0.07239819	0.004524887	0.018099548	0.018099548	0.027149321	0.099547511	0.013574661	0.029411765	0.042986425	0.047511312
1	0.185941043	0.024943311	0.052154195	0.063492063	0.115646259	0.024943311	0.004535147	0.006802721	0.009070295	0.009070295	0.049886621	0.004535147	0.01814059	0.006802721	0.031746032	0.070294785	0.006802721	0.01814059	0.022675737	0.036281179	0.108843537	0.013605442	0.015873016	0.054421769	0.045351474
1	0.15	0.027272727	0.065909091	0.054545455	0.120454545	0.040909091	0.006818182	0.004545455	0.004545455	0.009090909	0.077272727	0.009090909	0.013636364	0.020454545	0.027272727	0.040909091	0.004545455	0.034090909	0.009090909	0.031818182	0.106818182	0.018181818	0.031818182	0.031818182	0.059090909
1	0.190804598	0.013793103	0.052873563	0.094252874	0.117241379	0.018390805	0	0.004597701	0.006896552	0.004597701	0.062068966	0.004597701	0.009195402	0.016091954	0.013793103	0.089655172	0.004597701	0.006896552	0.016091954	0.03908046	0.105747126	0.011494253	0.032183908	0.025287356	0.059770115
1	0.193103448	0.018390805	0.066666667	0.066666667	0.112643678	0.016091954	0.004597701	0.002298851	0.004597701	0.018390805	0.057471264	0.002298851	0.006896552	0.022988506	0.022988506	0.07816092	0.009195402	0.016091954	0.013793103	0.027586207	0.110344828	0.011494253	0.020689655	0.036781609	0.059770115
1	0.168202765	0.02764977	0.052995392	0.092165899	0.094470046	0.023041475	0.004608295	0.004608295	0.004608295	0.01843318	0.064516129	0	0.01843318	0.013824885	0.036866359	0.082949309	0.00921659	0.01843318	0.011520737	0.023041475	0.096774194	0.013824885	0.039170507	0.023041475	0.057603687
1	0.206018519	0.013888889	0.055555556	0.087962963	0.118055556	0.013888889	0.002314815	0.009259259	0.006944444	0.00462963	0.081018519	0	0.018518519	0.016203704	0.020833333	0.055555556	0.00462963	0.037037037	0.00462963	0.032407407	0.122685185	0.016203704	0.016203704	0.018518519	0.037037037
1	0.176470588	0.0056926	0.104364326	0.043643264	0.091081594	0.006641366	0.000948767	0.0028463	0.000948767	0.004743833	0.10341556	0.003795066	0.061669829	0.013282732	0.066413662	0.035104364	0.001897533	0.022770398	0.008538899	0.019924099	0.098671727	0.003795066	0.057874763	0.021821632	0.043643264
1	0.174901186	0.035573123	0.06027668	0.042490119	0.108695652	0.033596838	0.007905138	0.008893281	0.005928854	0.027667984	0.043478261	0.01284585	0.009881423	0.013833992	0.035573123	0.044466403	0.006916996	0.013833992	0.008893281	0.032608696	0.124505929	0.020750988	0.022727273	0.035573123	0.068181818
1	0.186098655	0.033632287	0.042600897	0.054932735	0.115470852	0.033632287	0.011210762	0.00896861	0.00896861	0.023542601	0.053811659	0.007847534	0.00896861	0.005605381	0.024663677	0.034753363	0.007847534	0.013452915	0.005605381	0.039237668	0.124439462	0.025784753	0.02690583	0.025784753	0.076233184
1	0.122916667	0.033333333	0.047916667	0.05	0.11875	0.027083333	0.004166667	0.008333333	0.022916667	0.020833333	0.03125	0.008333333	0.008333333	0.0125	0.035416667	0.06875	0.010416667	0.0125	0.008333333	0.03125	0.120833333	0.027083333	0.01875	0.039583333	0.110416667
1	0.152400835	0.027139875	0.045929019	0.045929019	0.123173278	0.022964509	0.014613779	0.006263048	0.012526096	0.025052192	0.037578288	0.014613779	0.016701461	0.008350731	0.039665971	0.050104384	0.006263048	0.010438413	0.006263048	0.027139875	0.131524008	0.018789144	0.037578288	0.027139875	0.091858038
1	0.186192469	0.029288703	0.054393305	0.054393305	0.121338912	0.025104603	0.008368201	0.006276151	0.012552301	0.012552301	0.041841004	0.010460251	0.010460251	0.020920502	0.033472803	0.060669456	0.006276151	0.014644351	0.008368201	0.029288703	0.129707113	0.010460251	0.033472803	0.023012552	0.056485356
1	0.20212766	0.027659574	0.061702128	0.044680851	0.121276596	0.014893617	0.00212766	0.004255319	0.00212766	0.019148936	0.055319149	0.004255319	0.008510638	0.014893617	0.031914894	0.055319149	0.00212766	0.014893617	0.014893617	0.027659574	0.127659574	0.006382979	0.027659574	0.038297872	0.070212766
1	0.172707889	0.025586354	0.034115139	0.049040512	0.132196162	0.021321962	0.002132196	0.006396588	0.008528785	0.025586354	0.019189765	0.006396588	0.008528785	0.002132196	0.046908316	0.057569296	0.006396588	0.014925373	0.006396588	0.025586354	0.140724947	0.023454158	0.021321962	0.044776119	0.098081023
1	0.188311688	0.015151515	0.04978355	0.097402597	0.097402597	0.017316017	0	0.004329004	0.002164502	0.004329004	0.058441558	0.006493506	0.017316017	0.017316017	0.036796537	0.069264069	0.004329004	0.028138528	0.019480519	0.038961039	0.112554113	0.002164502	0.036796537	0.025974026	0.04978355
1	0.182608696	0.019565217	0.076086957	0.073913043	0.095652174	0.008695652	0.002173913	0.013043478	0.010869565	0.015217391	0.082608696	0.008695652	0.02173913	0.017391304	0.023913043	0.07173913	0.006521739	0.015217391	0.010869565	0.036956522	0.1	0.013043478	0.02826087	0.02826087	0.036956522
1	0.189542484	0.023965142	0.052287582	0.069716776	0.100217865	0.021786492	0	0.006535948	0.013071895	0.017429194	0.058823529	0.015250545	0.008714597	0.008714597	0.026143791	0.069716776	0.019607843	0.019607843	0.010893246	0.030501089	0.093681917	0	0.032679739	0.047930283	0.063180828
1	0.172866521	0.019693654	0.065645514	0.072210066	0.111597374	0.01750547	0.004376368	0.006564551	0	0.013129103	0.074398249	0.002188184	0.01750547	0.021881838	0.028446389	0.074398249	0.004376368	0.019693654	0.008752735	0.024070022	0.102844639	0.010940919	0.035010941	0.028446389	0.06345733
1	0.160087719	0.024122807	0.061403509	0.081140351	0.114035088	0.024122807	0.002192982	0.002192982	0.00877193	0.00877193	0.063596491	0.004385965	0.00877193	0.010964912	0.035087719	0.063596491	0.004385965	0.024122807	0.021929825	0.030701754	0.127192982	0.010964912	0.028508772	0.021929825	0.057017544
1	0.186813187	0.028571429	0.059340659	0.052747253	0.134065934	0.01978022	0.004395604	0.006593407	0.004395604	0.015384615	0.061538462	0.004395604	0.010989011	0.024175824	0.026373626	0.059340659	0.004395604	0.01978022	0.010989011	0.026373626	0.131868132	0.008791209	0.032967033	0.028571429	0.037362637
1	0.156387665	0.013215859	0.057268722	0.068281938	0.116740088	0.026431718	0.008810573	0.004405286	0.004405286	0.011013216	0.055066079	0.004405286	0.013215859	0.024229075	0.035242291	0.070484581	0.008810573	0.022026432	0.022026432	0.026431718	0.101321586	0.019823789	0.037444934	0.030837004	0.061674009
1	0.200440529	0.017621145	0.059471366	0.057268722	0.13215859	0.013215859	0.002202643	0.002202643	0.004405286	0.017621145	0.055066079	0.00660793	0.011013216	0.011013216	0.028634361	0.055066079	0.002202643	0.015418502	0.00660793	0.019823789	0.140969163	0.011013216	0.026431718	0.019823789	0.083700441
1	0.169603524	0.026431718	0.037444934	0.046255507	0.143171806	0.024229075	0.00660793	0.013215859	0.013215859	0.011013216	0.04845815	0.011013216	0.011013216	0.011013216	0.033039648	0.063876652	0.002202643	0.011013216	0.00660793	0.026431718	0.114537445	0.022026432	0.04185022	0.033039648	0.072687225
1	0.148230088	0.037610619	0.059734513	0.050884956	0.115044248	0.022123894	0.006637168	0.008849558	0.013274336	0.024336283	0.068584071	0.011061947	0.013274336	0.004424779	0.03539823	0.048672566	0.004424779	0.011061947	0.015486726	0.028761062	0.121681416	0.017699115	0.039823009	0.024336283	0.068584071
